エリア分類,エリア小分類,ゴルフコース名,緯度,経度
北海道,札幌・北広島・恵庭・小樽・ニセコ,札幌ゴルフ倶楽部　由仁コース,42.9892919,141.7736002
,,小樽カントリー倶楽部　旧コース,43.14495016,141.1814936
,,真駒内カントリークラブ,42.9046153,141.3340842
,,札幌北広島ゴルフ倶楽部,42.9702035,141.5230802
,,サンパーク札幌ゴルフコース,42.9504585,141.5453567
,,札幌リージェントゴルフ倶楽部,42.9244875,141.4819801
,,恵庭カントリー倶楽部,42.8537194,141.4975395
,,エスコンフィールドHOKKAIDO,42.99130655,141.5490676
,千歳・苫小牧・室蘭・洞爺湖,室蘭ゴルフ倶楽部,42.3817728,140.9563135
,,グレート札幌カントリー倶楽部,42.9170848,141.7400188
,,千歳カントリークラブ,42.8769001,141.767152
,,新千歳カントリークラブ,42.89844485,141.7629408
,,苫小牧ゴルフリゾート72　アイリスゴルフクラブ,42.6988422,141.6541021
,,北海道ドリームカントリークラブ,42.60421416,141.4225444
,,室蘭ゴルフ倶楽部,42.3817728,140.9563135
,,ザ・ノースカントリーゴルフクラブ,42.8206009,141.5967471
,,ニドムクラシックコース,42.7154614,141.647578
,,北海道カントリークラブ プリンスコース,41.98943693,140.6550036
,,函館シーサイドカントリークラブ,41.7838091,140.8691458
,,函館パークカントリークラブ,41.8275876,140.8235825
,,鹿部カントリー倶楽部,42.0749004,140.7754793
,,大沼国際カントリークラブ,42.0218647,140.7561413
,,函館ゴルフ倶楽部,41.79341551,140.8063017
,,北海道カントリークラブ,41.98945288,140.6550143
,,大沼レイクゴルフクラブ,42.01205788,140.6458866
,,函館ベイコーストカントリークラブ,41.81055477,140.6060897
,函館・芽部,北海道カントリークラブ プリンスコース,41.9894449,140.6549821
,,函館シーサイドカントリークラブ,41.7838091,140.8691458
,,函館パークカントリークラブ,41.8275876,140.8235825
,,鹿部カントリー倶楽部,42.0749004,140.7754793
,,大沼国際カントリークラブ,42.0218647,140.7561413
,,函館ゴルフ倶楽部　湯の川ゴルフ場,41.79340751,140.8063124
,,北海道カントリークラブ　大沼コース,41.9894449,140.6549607
,,大沼レイクゴルフクラブ,42.01201005,140.6459724
,,函館ベイコーストカントリークラブ,41.81048279,140.6060897
,旭川・富良野・北見・網走,富良野ゴルフコース,43.3349643,142.4844618
,,ノーザンアークゴルフクラブ,43.8621651,143.9165845
,,温根湯国際カントリークラブ,43.7620268,143.475297
,,空知川ラベンダーの森ゴルフコース,43.38980656,142.3449894
,,オホーツクカントリークラブ,43.9462144,144.3411716
,,旭川メモリアルカントリークラブ,43.760209,142.2853581
,,旭川ゴルフ倶楽部,43.7730013,142.297429
,,フォレスト旭川カントリークラブ,43.7050368,142.3636171
,,北見ハーブヒルゴルフクラブ,43.8073689,143.9496969
,釧路・帯広・十勝・上士幌,釧路空港ゴルフクラブ,43.0276912,144.2130096
,,釧路カントリークラブ,43.1487829,144.312044
,,サホロカントリークラブ,43.1551029,142.8070012
,,新釧路ゴルフ倶楽部,42.9943092,144.7047462
